Title,Author,Rating,Type
"Bloody Jack (Bloody Jack, #1)",L.A. Meyer,"4.12 avg rating — 27,358 ratings","4.12 avg rating — 27,358 ratings"
Britt-Marie Was Here,Fredrik Backman,"4.09 avg rating — 183,653 ratings",(Goodreads Author)
"The System of the World (The Baroque Cycle, #3)",Neal Stephenson,"4.33 avg rating — 22,751 ratings",(Goodreads Author)
"For a Few Demons More (The Hollows, #5)",Kim Harrison,"4.32 avg rating — 59,151 ratings",(Goodreads Author)
In Her Shoes,Jennifer Weiner,"3.83 avg rating — 222,718 ratings",(Goodreads Author)
Ways of Seeing,John Berger,"3.93 avg rating — 409,666 ratings","3.93 avg rating — 409,666 ratings"
The Art of Loving,Erich Fromm,"really liked it 4.00 avg rating — 89,448 ratings","really liked it 4.00 avg rating — 89,448 ratings"
"My Blood Approves (My Blood Approves, #1)",Amanda Hocking,"3.82 avg rating — 30,183 ratings",(Goodreads Author)
Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,"3.96 avg rating — 225,771 ratings",(Goodreads Author)
"The Rook (The Checquy Files, #1)",Daniel O'Malley,"4.10 avg rating — 61,490 ratings","4.10 avg rating — 61,490 ratings"
The Fill-In Boyfriend,Kasie West,"3.89 avg rating — 67,768 ratings",(Goodreads Author)
Autobiography of Red,Anne Carson,"4.26 avg rating — 33,515 ratings","4.26 avg rating — 33,515 ratings"
The Intelligent Investor,Benjamin Graham,"4.24 avg rating — 142,877 ratings","4.24 avg rating — 142,877 ratings"
The Monk,Matthew Gregory Lewis,"3.84 avg rating — 31,180 ratings","3.84 avg rating — 31,180 ratings"
Dead Wake: The Last Crossing of the Lusitania,Erik Larson,"4.13 avg rating — 154,942 ratings",(Goodreads Author)
"Vanish (Rizzoli & Isles, #5)",Tess Gerritsen,"4.15 avg rating — 70,299 ratings",(Goodreads Author)
"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",Louise Rennison,"3.76 avg rating — 134,689 ratings","3.76 avg rating — 134,689 ratings"
"Paradise (Paradise, #1)",Judith McNaught,"4.30 avg rating — 36,081 ratings","4.30 avg rating — 36,081 ratings"
"Mrs. Mike (Mrs. Mike, #1)",Benedict Freedman,"4.15 avg rating — 20,161 ratings","4.15 avg rating — 20,161 ratings"
Where Men Win Glory: The Odyssey of Pat Tillman,Jon Krakauer,"4.09 avg rating — 41,667 ratings",(Goodreads Author)
"My Sister's Betrayal (The Blood Sisters, #2)",Roberta Kagan,"4.19 avg rating — 2,137 ratings",(Goodreads Author)
"Tropic of Capricorn (Tropic, #2)",Henry Miller,"3.81 avg rating — 20,943 ratings","3.81 avg rating — 20,943 ratings"
"Murder at the Vicarage (Miss Marple, #1)",Agatha Christie,"4.05 avg rating — 202,165 ratings","4.05 avg rating — 202,165 ratings"
"Mystery Man (Dream Man, #1)",Kristen Ashley,"4.20 avg rating — 73,242 ratings",(Goodreads Author)
Birthday Girl,Penelope Douglas,"3.93 avg rating — 423,010 ratings",(Goodreads Author)
"The Dead-Tossed Waves (The Forest of Hands and Teeth, #2)",Carrie Ryan,"3.91 avg rating — 31,802 ratings",(Goodreads Author)
The Room,Hubert Selby Jr.,"3.70 avg rating — 6,523 ratings","3.70 avg rating — 6,523 ratings"
Hamnet,Maggie O'Farrell,"4.19 avg rating — 301,239 ratings",(Goodreads Author)
"Red Mars (Mars Trilogy, #1)",Kim Stanley Robinson,"3.86 avg rating — 86,186 ratings","3.86 avg rating — 86,186 ratings"
Dr. Seuss's ABC: An Amazing Alphabet Book!,Dr. Seuss,"4.13 avg rating — 49,830 ratings","4.13 avg rating — 49,830 ratings"
The Cost of Discipleship,Dietrich Bonhoeffer,"4.30 avg rating — 47,961 ratings","4.30 avg rating — 47,961 ratings"
The Vagina Monologues,V (formerly Eve Ensler),"3.87 avg rating — 37,767 ratings","3.87 avg rating — 37,767 ratings"
Samarkand,Amin Maalouf,"4.24 avg rating — 30,256 ratings",(Goodreads Author)
"What If It's Us (What If It's Us, #1)",Becky Albertalli,"3.81 avg rating — 163,202 ratings",(Goodreads Author)
All Good People Here,Ashley Flowers,"3.83 avg rating — 298,483 ratings",(Goodreads Author)
The Wasp Trap (The Charlotte's War Trilogy Book 3),Hugo Woolley,4.41 avg rating — 388 ratings,4.41 avg rating — 388 ratings
The Amityville Horror,Jay Anson,"3.83 avg rating — 135,305 ratings","3.83 avg rating — 135,305 ratings"
"The Eternity Cure (Blood of Eden, #2)",Julie Kagawa,"4.21 avg rating — 39,038 ratings",(Goodreads Author)
الإسلام بين الشرق والغرب,Alija Izetbegović,"4.47 avg rating — 11,853 ratings","4.47 avg rating — 11,853 ratings"
Dark Eyes: White Lies (The Dark Eyes #2),M.R. Noble,4.29 avg rating — 688 ratings,(Goodreads Author)
Letters from a Stoic,Seneca,"4.34 avg rating — 50,633 ratings","4.34 avg rating — 50,633 ratings"
"The Queen's Fool (The Plantagenet and Tudor Novels, #12)",Philippa Gregory,"3.88 avg rating — 99,465 ratings",(Goodreads Author)
Lost Souls,Poppy Z. Brite,"3.90 avg rating — 18,679 ratings",(Goodreads Author)
"The Miniaturist (The Miniaturist, #1)",Jessie Burton,"3.62 avg rating — 149,221 ratings","3.62 avg rating — 149,221 ratings"
Holly Jolly: Campfire Stories,JK Franko Junior,"4.35 avg rating — 4,429 ratings","4.35 avg rating — 4,429 ratings"
"SUGAR BEAR: Life Lessons, Leadership, and the Legacy of a High School Coach",Chris Heeb,4.24 avg rating — 70 ratings,(Goodreads Author)
"Rilla of Ingleside (Anne of Green Gables, #8)",L.M. Montgomery,"4.24 avg rating — 54,362 ratings","4.24 avg rating — 54,362 ratings"
"Love on the Line (Women at Work, #1)",Kirsten Fullmer,"4.26 avg rating — 4,194 ratings",(Goodreads Author)
Montana: The Biography of Football's Joe Cool,Keith Dunnavant,4.02 avg rating — 331 ratings,4.02 avg rating — 331 ratings
"Three Dark Crowns (Three Dark Crowns, #1)",Kendare Blake,"3.79 avg rating — 115,553 ratings",(Goodreads Author)
Yellowface,R.F. Kuang,"3.74 avg rating — 827,343 ratings",(Goodreads Author)
"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",Michael Scott,"4.13 avg rating — 69,190 ratings",(Goodreads Author)
"Succubus on Top (Georgina Kincaid, #2)",Richelle Mead,"4.05 avg rating — 33,212 ratings",(Goodreads Author)
The Basketball Diaries,Jim Carroll,"3.99 avg rating — 31,393 ratings","3.99 avg rating — 31,393 ratings"
La ciudad y los perros,Mario Vargas Llosa,"4.17 avg rating — 26,145 ratings","4.17 avg rating — 26,145 ratings"
The Last Folk Hero: The Life and Myth of Bo Jackson,Jeff Pearlman,"4.19 avg rating — 2,973 ratings","4.19 avg rating — 2,973 ratings"
"Petals on the Wind (Dollanganger, #2)",V.C. Andrews,"3.82 avg rating — 70,592 ratings","3.82 avg rating — 70,592 ratings"
Killing Lincoln: The Shocking Assassination that Changed America Forever,Bill O'Reilly,"4.05 avg rating — 107,078 ratings",(Goodreads Author)
"Wolf Brother (Chronicles of Ancient Darkness, #1)",Michelle Paver,"4.21 avg rating — 28,525 ratings","4.21 avg rating — 28,525 ratings"
"Sweet Dreams (Colorado Mountain, #2)",Kristen Ashley,"4.37 avg rating — 49,913 ratings",(Goodreads Author)
The Ten Thousand Doors of January,Alix E. Harrow,"4.02 avg rating — 156,457 ratings",(Goodreads Author)
Johnny Tremain,Esther Forbes,"3.69 avg rating — 50,090 ratings","3.69 avg rating — 50,090 ratings"
"Mistborn Trilogy Boxed Set (Mistborn, #1-3)",Brandon Sanderson,"4.60 avg rating — 57,609 ratings",(Goodreads Author)
Billy Summers,Stephen        King,"4.19 avg rating — 178,296 ratings",(Goodreads Author)
"The Secret History of the Pink Carnation (Pink Carnation, #1)",Lauren Willig,"3.69 avg rating — 23,405 ratings",(Goodreads Author)
"Princess of the Midnight Ball (The Princesses of Westfalin Trilogy, #1)",Jessica Day George,"3.95 avg rating — 36,405 ratings",(Goodreads Author)
"L.A. Confidential (L.A. Quartet, #3)",James Ellroy,"4.18 avg rating — 35,532 ratings","4.18 avg rating — 35,532 ratings"
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,Austin Kleon,"3.96 avg rating — 317,753 ratings",(Goodreads Author)
"The Devil's Star (Harry Hole, #5)",Jo Nesbø,"4.06 avg rating — 74,000 ratings",(Goodreads Author)
Tress of the Emerald Sea,Brandon Sanderson,"4.35 avg rating — 224,309 ratings",(Goodreads Author)
Broken,Shy Keenan,"4.26 avg rating — 4,084 ratings","4.26 avg rating — 4,084 ratings"
