Title,Author,Rating,Type
"The Box in the Woods (Truly Devious, #4)",Maureen Johnson,"4.06 avg rating — 52,044 ratings",(Goodreads Author)
The Lincoln Highway,Amor Towles,"4.22 avg rating — 292,476 ratings",(Goodreads Author)
"Terms and Conditions  (Dreamland Billionaires, #2)",Lauren Asher,"4.10 avg rating — 430,033 ratings",(Goodreads Author)
Babel: An Arcane History,R.F. Kuang,"4.16 avg rating — 363,513 ratings",(Goodreads Author)
The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,Will Durant,"4.15 avg rating — 17,516 ratings","4.15 avg rating — 17,516 ratings"
"Curse the Dawn (Cassandra Palmer, #4)",Karen Chance,"4.15 avg rating — 21,500 ratings",(Goodreads Author)
"Endymion (Hyperion Cantos, #3)",Dan Simmons,"4.19 avg rating — 66,744 ratings","4.19 avg rating — 66,744 ratings"
Temple,Matthew Reilly,"4.06 avg rating — 22,069 ratings","4.06 avg rating — 22,069 ratings"
Evolution of Insanity,Haresh Daswani,4.29 avg rating — 77 ratings,(Goodreads Author)
Why Not-World,Alexei Maxim Russell,4.20 avg rating — 64 ratings,(Goodreads Author)
"Second Helpings (Jessica Darling, #2)",Megan McCafferty,"4.07 avg rating — 26,175 ratings",(Goodreads Author)
Incognito: The Secret Lives of the Brain,David Eagleman,"4.08 avg rating — 33,727 ratings",(Goodreads Author)
"The Lost Continent (Wings of Fire, #11)",Tui T. Sutherland,"4.44 avg rating — 18,570 ratings","4.44 avg rating — 18,570 ratings"
Alphabet Amigos,Angel M. Alvarez,4.72 avg rating — 32 ratings,(Goodreads Author)
"The Poppy War (The Poppy War, #1)",R.F. Kuang,"4.17 avg rating — 381,355 ratings",(Goodreads Author)
My Dirty California,Jason Mosberg,3.94 avg rating — 309 ratings,(Goodreads Author)
My Life and Hard Times,James Thurber,"4.10 avg rating — 3,564 ratings","4.10 avg rating — 3,564 ratings"
"Simple Genius (Sean King & Michelle Maxwell, #3)",David Baldacci,"4.01 avg rating — 47,088 ratings",(Goodreads Author)
Submarine,Joe Dunthorne,"3.74 avg rating — 11,793 ratings","3.74 avg rating — 11,793 ratings"
The Snow Queen,Hans Christian Andersen,"3.74 avg rating — 18,327 ratings","3.74 avg rating — 18,327 ratings"
Blackout (Arcadia #2),Alecia Stone,4.82 avg rating — 44 ratings,4.82 avg rating — 44 ratings
"Reasonable Doubt: Volume 1 (Reasonable Doubt, #1)",Whitney G.,"4.02 avg rating — 45,500 ratings",(Goodreads Author)
"Abuse (Abuse, #1)",Nikki Sex,"4.06 avg rating — 1,081 ratings",(Goodreads Author)
"The Shamer's Daughter (The Shamer Chronicles, #1)",Lene Kaaberbøl,"3.91 avg rating — 10,504 ratings","3.91 avg rating — 10,504 ratings"
One Night with the Prince,T.M. Mendes,"3.96 avg rating — 1,438 ratings",(Goodreads Author)
"Pop Goes the Weasel (Helen Grace, #2)",M.J. Arlidge,"4.13 avg rating — 25,920 ratings","4.13 avg rating — 25,920 ratings"
Sweep: The Story of a Girl and Her Monster,Jonathan Auxier,"4.46 avg rating — 12,298 ratings",(Goodreads Author)
Salvage the Bones,Jesmyn Ward,"3.96 avg rating — 70,347 ratings",(Goodreads Author)
Jane Eyre,Charlotte Brontë,"4.15 avg rating — 2,228,642 ratings","4.15 avg rating — 2,228,642 ratings"
In Memoriam,Alice Winn,"4.51 avg rating — 57,984 ratings","4.51 avg rating — 57,984 ratings"
The Book of Sand and Shakespeare's Memory,Jorge Luis Borges,"4.10 avg rating — 15,708 ratings","4.10 avg rating — 15,708 ratings"
The Orchid Thief,Susan Orlean,"3.67 avg rating — 20,912 ratings",(Goodreads Author)
"Knots and Crosses (Inspector Rebus, #1)",Ian Rankin,"3.80 avg rating — 55,726 ratings",(Goodreads Author)
A Mercy,Toni Morrison,"3.76 avg rating — 31,482 ratings","3.76 avg rating — 31,482 ratings"
America (The Book): A Citizen's Guide to Democracy Inaction,Jon   Stewart,"4.01 avg rating — 96,598 ratings","4.01 avg rating — 96,598 ratings"
"Rebirth (The Keeper, #3)",O.L. Ramos,4.50 avg rating — 141 ratings,(Goodreads Author)
How to Love,Katie Cotugno,"3.67 avg rating — 18,830 ratings",(Goodreads Author)
The Neapolitan Novels,Elena Ferrante,"4.57 avg rating — 6,450 ratings","4.57 avg rating — 6,450 ratings"
Baise-Moi,Virginie Despentes,"3.51 avg rating — 5,396 ratings","3.51 avg rating — 5,396 ratings"
Ghosts,Raina Telgemeier,"4.21 avg rating — 151,398 ratings",(Goodreads Author)
"Moon Over Soho (Rivers of London, #2)",Ben Aaronovitch,"4.08 avg rating — 70,295 ratings",(Goodreads Author)
"Nona the Ninth (The Locked Tomb, #3)",Tamsyn Muir,"4.34 avg rating — 49,771 ratings",(Goodreads Author)
"The Cheat Code (Wisdom Revolution, #3)",Misba,"4.74 avg rating — 4,080 ratings",(Goodreads Author)
The Second Korean War (Russian Agents #1),Ted Halstead,"4.15 avg rating — 1,956 ratings",(Goodreads Author)
"The Raven Prince (Princes Trilogy, #1)",Elizabeth Hoyt,"3.95 avg rating — 24,416 ratings",(Goodreads Author)
"Hunting Human (Prime Legacy, #1)",Amanda E. Alvarez,3.73 avg rating — 282 ratings,(Goodreads Author)
"To Tame a Highland Warrior (Highlander, #2)",Karen Marie Moning,"4.12 avg rating — 34,539 ratings",(Goodreads Author)
"Death of Kings (The Saxon Stories, #6)",Bernard Cornwell,"4.31 avg rating — 32,722 ratings",(Goodreads Author)
See You at Harry's,Jo Knowles,"4.13 avg rating — 13,739 ratings",(Goodreads Author)
"A Dance with Dragons 2: After the Feast (A Song of Ice and Fire, #5, Part 2 of 2)",George R.R. Martin,"4.43 avg rating — 31,453 ratings","4.43 avg rating — 31,453 ratings"
The Divan,Hafez,"4.66 avg rating — 7,369 ratings","4.66 avg rating — 7,369 ratings"
A Butler Christmas,Rahiem Brooks,4.73 avg rating — 55 ratings,4.73 avg rating — 55 ratings
"El laberinto de los espíritus (El cementerio de los libros olvidados, #4)",Carlos Ruiz Zafón,"4.53 avg rating — 59,855 ratings","4.53 avg rating — 59,855 ratings"
"The Late Show (Renée Ballard, #1; Harry Bosch Universe, #30)",Michael    Connelly,"4.11 avg rating — 98,125 ratings",(Goodreads Author)
"The Darkness Outside Us (The Darkness Outside Us, #1)",Eliot Schrefer,"4.32 avg rating — 28,196 ratings",(Goodreads Author)
The Song of Achilles,Madeline Miller,"4.31 avg rating — 1,791,938 ratings",(Goodreads Author)
The Love Songs of W.E.B. Du Bois,Honorée Fanonne Jeffers,"4.51 avg rating — 38,987 ratings","4.51 avg rating — 38,987 ratings"
Reservation Blues,Sherman Alexie,"3.98 avg rating — 14,054 ratings","3.98 avg rating — 14,054 ratings"
"The Reality Bug (Pendragon, #4)",D.J. MacHale,"4.16 avg rating — 24,733 ratings",(Goodreads Author)
"The Empress's Tomb (Kiki Strike, #2)",Kirsten Miller,"4.14 avg rating — 3,188 ratings",(Goodreads Author)
"Class A (CHERUB, #2)",Robert Muchamore,"4.28 avg rating — 26,942 ratings","4.28 avg rating — 26,942 ratings"
The Women's Room,Marilyn French,"3.99 avg rating — 9,206 ratings","3.99 avg rating — 9,206 ratings"
The Dark Tower,Stephen        King,"4.50 avg rating — 5,002 ratings",(Goodreads Author)
"Allies of the Night (Cirque du Freak, #8)",Darren Shan,"4.18 avg rating — 27,980 ratings",(Goodreads Author)
"Singularity Sky (Eschaton, #1)",Charles Stross,"3.84 avg rating — 15,921 ratings",(Goodreads Author)
La vieja sirena,José Luis Sampedro,"4.18 avg rating — 1,204 ratings","4.18 avg rating — 1,204 ratings"
"Necroscope (Necroscope, #1)",Brian Lumley,"4.01 avg rating — 21,861 ratings","4.01 avg rating — 21,861 ratings"
"Revealing Eden (Save the Pearls, #1)",Victoria Foyt,1.99 avg rating — 995 ratings,(Goodreads Author)
"The Ghost and the Goth (The Ghost and the Goth, #1)",Stacey Kade,"3.86 avg rating — 19,067 ratings",(Goodreads Author)
Ain't She Sweet?,Susan Elizabeth Phillips,"4.08 avg rating — 26,019 ratings",(Goodreads Author)
"Charade (Games, #1)",Nyrae Dawn,"3.97 avg rating — 37,261 ratings",(Goodreads Author)
"Bloodline (Sigma Force, #8)",James Rollins,"4.25 avg rating — 24,167 ratings",(Goodreads Author)
"The Dying of the Light (Skulduggery Pleasant, #9)",Derek Landy,"4.59 avg rating — 12,615 ratings","4.59 avg rating — 12,615 ratings"
"Faust, Part Two",Johann Wolfgang von Goethe,"3.66 avg rating — 8,024 ratings","3.66 avg rating — 8,024 ratings"
Demented: A Short Horror Story Collection (Sinister Tales Book 1),Anna Gallegos,4.62 avg rating — 73 ratings,(Goodreads Author)
"Story Thieves (Story Thieves, #1)",James  Riley,"3.95 avg rating — 11,490 ratings","3.95 avg rating — 11,490 ratings"
The Girl with the Louding Voice,Abi Daré,"4.43 avg rating — 164,078 ratings","4.43 avg rating — 164,078 ratings"
Heaven Official’s Blessing [天官赐福],Mò Xiāng Tóng Xiù,"4.74 avg rating — 12,784 ratings","4.74 avg rating — 12,784 ratings"
"In the Forests of the Night (Den of Shadows, #1)",Amelia Atwater-Rhodes,"3.89 avg rating — 15,008 ratings",(Goodreads Author)
The Seat of the Soul,Gary Zukav,"4.03 avg rating — 47,566 ratings","4.03 avg rating — 47,566 ratings"
The Baby Killers,Jay Lake,4.17 avg rating — 30 ratings,4.17 avg rating — 30 ratings
"Thunderhead (Nora Kelly, #0A)",Douglas Preston,"4.13 avg rating — 31,388 ratings",(Goodreads Author)
Intertwined,Jerilee Kaye,"4.40 avg rating — 1,458 ratings",(Goodreads Author)
Conduit (Emily Monroe #1),Angie Martin,3.98 avg rating — 527 ratings,(Goodreads Author)
"The Innocence of Father Brown (Father Brown, #1)",G.K. Chesterton,"3.82 avg rating — 18,058 ratings","3.82 avg rating — 18,058 ratings"
"The Mortal Instruments, the Complete Collection (Boxed Set): City of Bones; City of Ashes; City of Glass; City of Fallen Angels; City of Lost Souls; City of Heavenly Fire",Cassandra Clare,"4.52 avg rating — 5,221 ratings",(Goodreads Author)
If I Was Your Girl,Meredith Russo,"3.97 avg rating — 41,374 ratings",(Goodreads Author)
Neanderthal Opens the Door to the Universe,Preston Norton,"4.23 avg rating — 3,925 ratings",(Goodreads Author)
The Devil's Deceptions: Where we go After we Die,Dr. Baum,4.86 avg rating — 187 ratings,4.86 avg rating — 187 ratings
"Kingdom of Ash (Throne of Glass, #7)",Sarah J. Maas,"4.71 avg rating — 885,056 ratings",(Goodreads Author)
The Hike,Drew Magary,"3.97 avg rating — 26,193 ratings",(Goodreads Author)
"The Ballad of Never After (Once Upon a Broken Heart, #2)",Stephanie Garber,"4.50 avg rating — 377,784 ratings",(Goodreads Author)
"Bullet (Anita Blake, Vampire Hunter, #19)",Laurell K. Hamilton,"3.87 avg rating — 35,400 ratings",(Goodreads Author)
Mr. Maybe,Jane Green,"3.48 avg rating — 93,349 ratings",(Goodreads Author)
Under the Skin,Michel Faber,"3.75 avg rating — 28,382 ratings","3.75 avg rating — 28,382 ratings"
"The Claiming of Sleeping Beauty (Sleeping Beauty, #1)",A.N. Roquelaure,"3.21 avg rating — 59,768 ratings","3.21 avg rating — 59,768 ratings"
"Indulgence in Death (In Death, #31)",J.D. Robb,"4.36 avg rating — 29,722 ratings",(Goodreads Author)
Mid Ocean,T. Rafael Cimino,3.86 avg rating — 910 ratings,(Goodreads Author)
Poison,Chris Wooding,"4.02 avg rating — 6,494 ratings","4.02 avg rating — 6,494 ratings"
"Wrath (New Species, #6)",Laurann Dohner,"4.20 avg rating — 18,343 ratings","4.20 avg rating — 18,343 ratings"
This Is All: The Pillow Book of Cordelia Kenn,Aidan Chambers,"4.31 avg rating — 2,369 ratings","4.31 avg rating — 2,369 ratings"
A Bite's Tale,Veronica Blade,3.79 avg rating — 424 ratings,(Goodreads Author)
"Legion (Legion, #1)",Brandon Sanderson,"4.13 avg rating — 43,196 ratings",(Goodreads Author)
"Liliana (Liliana, #1)",Neva Squires-Rodriguez,3.95 avg rating — 111 ratings,(Goodreads Author)
"Cibola Burn (The Expanse, #4)",James S.A. Corey,"4.23 avg rating — 119,235 ratings",(Goodreads Author)
"The Six of Crows Duology Boxed Set (Six of Crows, #1-2)",Leigh Bardugo,"4.65 avg rating — 6,782 ratings",(Goodreads Author)
Every Summer After,Carley Fortune,"4.19 avg rating — 670,100 ratings",(Goodreads Author)
Una vita come tante,Hanya Yanagihara,"4.30 avg rating — 820,885 ratings",(Goodreads Author)
Se questo è un uomo,Primo Levi,"4.34 avg rating — 82,038 ratings","4.34 avg rating — 82,038 ratings"
"Dereliction of Duty: Lyndon Johnson, Robert McNamara, the Joint Chiefs of Staff, and the Lies That Led to Vietnam",H.R. McMaster,"3.99 avg rating — 4,744 ratings","3.99 avg rating — 4,744 ratings"
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand,"3.55 avg rating — 14,769 ratings","3.55 avg rating — 14,769 ratings"
Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware,"4.08 avg rating — 24,398 ratings","4.08 avg rating — 24,398 ratings"
L'Œuvre au noir,Marguerite Yourcenar,"4.02 avg rating — 5,811 ratings","4.02 avg rating — 5,811 ratings"
"Skin Trade (Anita Blake, Vampire Hunter, #17)",Laurell K. Hamilton,"3.94 avg rating — 39,680 ratings",(Goodreads Author)
"Now We Are Six (Winnie-the-Pooh, #4)",A.A. Milne,"4.29 avg rating — 23,030 ratings","4.29 avg rating — 23,030 ratings"
"When Darkness Comes (Guardians of Eternity, #1)",Alexandra Ivy,"3.84 avg rating — 14,865 ratings",(Goodreads Author)
Mutant Message Down Under,Marlo Morgan,"3.78 avg rating — 22,621 ratings","3.78 avg rating — 22,621 ratings"
Incendies,Wajdi Mouawad,"4.38 avg rating — 11,967 ratings","4.38 avg rating — 11,967 ratings"
The Gathering Darkness,Lisa Collicutt,3.81 avg rating — 190 ratings,(Goodreads Author)
"Up from the Grave (Night Huntress, #7)",Jeaniene Frost,"4.27 avg rating — 33,703 ratings",(Goodreads Author)
"Made (Sempre, #0.4)",J.M. Darhower,"4.51 avg rating — 3,195 ratings",(Goodreads Author)
Release,Patrick Ness,"3.64 avg rating — 19,093 ratings","3.64 avg rating — 19,093 ratings"
"Th1rt3en (Eddie Flynn, #4)",Steve Cavanagh,"4.21 avg rating — 93,223 ratings",(Goodreads Author)
"Broken Prince (The Royals, #2)",Erin Watt,"3.97 avg rating — 110,041 ratings",(Goodreads Author)
Project Hail Mary,Andy Weir,"4.50 avg rating — 780,090 ratings",(Goodreads Author)
The Alliance,Gerald N. Lund,"4.22 avg rating — 4,524 ratings",(Goodreads Author)
The Other Side of the Story,Marian Keyes,"3.80 avg rating — 45,126 ratings","3.80 avg rating — 45,126 ratings"
Ghost World,Daniel Clowes,"3.82 avg rating — 78,101 ratings","3.82 avg rating — 78,101 ratings"
The Wisdom of Insecurity: A Message for an Age of Anxiety,Alan W. Watts,"4.15 avg rating — 26,948 ratings","4.15 avg rating — 26,948 ratings"
The Midwife's Confession,Diane Chamberlain,"4.09 avg rating — 44,170 ratings",(Goodreads Author)
"The Big Nowhere (L.A. Quartet, #2)",James Ellroy,"4.09 avg rating — 18,031 ratings","4.09 avg rating — 18,031 ratings"
Tracy's Tiger,William Saroyan,"4.25 avg rating — 3,843 ratings","4.25 avg rating — 3,843 ratings"
"Rhapsodic (The Bargainer, #1)",Laura Thalassa,"3.90 avg rating — 172,390 ratings",(Goodreads Author)
Project Hail Mary,Andy Weir,"4.50 avg rating — 780,090 ratings",(Goodreads Author)
"Rise of the Ranger (The Echoes Saga, #1)",Philip C. Quaintrell,"4.22 avg rating — 10,302 ratings",(Goodreads Author)
The Kitten and His Prince,Julie Mannino,3.72 avg rating — 112 ratings,(Goodreads Author)
Gulliver's Travels and ''A Modest Proposal'',Jonathan Swift,"3.91 avg rating — 5,763 ratings","3.91 avg rating — 5,763 ratings"
"Scar Night (Deepgate Codex, #1)",Alan                Campbell,"3.63 avg rating — 4,121 ratings",(Goodreads Author)
The Napping House,Audrey Wood,"4.27 avg rating — 46,778 ratings",(Goodreads Author)
"Foretold (The Demon Trappers, #4)",Jana Oliver,"4.32 avg rating — 6,444 ratings",(Goodreads Author)
"Panteón (Memorias de Idhún, #3)",Laura Gallego García,"4.11 avg rating — 15,598 ratings","4.11 avg rating — 15,598 ratings"
"Goddess of the Sea (Goddess Summoning, #1)",P.C. Cast,"3.84 avg rating — 11,785 ratings",(Goodreads Author)
The Marsh King's Daughter,Karen Dionne,"3.87 avg rating — 46,663 ratings",(Goodreads Author)
Inspired by The Holy Ghost,Aimee Cabo Nikolov,4.29 avg rating — 420 ratings,(Goodreads Author)
So You Want to Talk About Race,Ijeoma Oluo,"4.49 avg rating — 106,883 ratings","4.49 avg rating — 106,883 ratings"
The Kingdom of Back,Marie Lu,"3.71 avg rating — 23,033 ratings",(Goodreads Author)
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"4.30 avg rating — 1,548,789 ratings",(Goodreads Author)
El padrino,Mario Puzo,"4.40 avg rating — 447,155 ratings","4.40 avg rating — 447,155 ratings"
The Deepest Well: Healing the Long-Term Effects of Childhood Adversity,Nadine Burke Harris,"4.43 avg rating — 10,558 ratings","4.43 avg rating — 10,558 ratings"
Last Seen in Lapaz (Emma Djan Investigation #3),Kwei Quartey,4.08 avg rating — 849 ratings,(Goodreads Author)
I Guess I Haven't Learned That Yet: Discovering New Ways of Living When the Old Ways Stop Working,Shauna Niequist,"really liked it 4.00 avg rating — 13,127 ratings","really liked it 4.00 avg rating — 13,127 ratings"
All This Twisted Glory (This Woven Kingdom #3),Tahereh Mafi,"4.07 avg rating — 26,505 ratings","4.07 avg rating — 26,505 ratings"
Rouge,Mona Awad,"3.54 avg rating — 40,423 ratings",(Goodreads Author)
The Unabridged Devil's Dictionary,Ambrose Bierce,"4.05 avg rating — 10,924 ratings","4.05 avg rating — 10,924 ratings"
The Day After Tomorrow,Allan Folsom,"4.03 avg rating — 8,017 ratings","4.03 avg rating — 8,017 ratings"
The China Garden,Liz Berry,"4.12 avg rating — 3,013 ratings","4.12 avg rating — 3,013 ratings"
"Master of the Senate (The Years of Lyndon Johnson, #3)",Robert A. Caro,"4.42 avg rating — 23,385 ratings","4.42 avg rating — 23,385 ratings"
"Mayflower: A Story of Courage, Community, and War",Nathaniel Philbrick,"3.88 avg rating — 45,015 ratings",(Goodreads Author)
"Off Armageddon Reef (Safehold, #1)",David Weber,"4.14 avg rating — 12,556 ratings","4.14 avg rating — 12,556 ratings"
"Dan Brown Omnibus: Angels and Demons / The da Vinci Code (Robert Langdon, #1-2)",Dan    Brown,"4.31 avg rating — 52,210 ratings",(Goodreads Author)
La casa de los espíritus,Isabel Allende,"4.29 avg rating — 296,785 ratings",(Goodreads Author)
Lies,T.M. Logan,"3.92 avg rating — 40,086 ratings",(Goodreads Author)
Bullshit Jobs: A Theory,David Graeber,"4.03 avg rating — 30,862 ratings","4.03 avg rating — 30,862 ratings"
Murder in the Pacific: Ifira Point (Murder in the Pacific #1),Matt Francis,4.28 avg rating — 188 ratings,4.28 avg rating — 188 ratings
The Magician's Assistant,Ann Patchett,"3.73 avg rating — 48,163 ratings","3.73 avg rating — 48,163 ratings"
"This Heart of Mine (Chicago Stars, #5)",Susan Elizabeth Phillips,"4.08 avg rating — 32,665 ratings",(Goodreads Author)
Profiles in Courage,John F. Kennedy,"3.92 avg rating — 14,069 ratings","3.92 avg rating — 14,069 ratings"
Gazing Into the Eternal,Belzebuub,4.54 avg rating — 70 ratings,(Goodreads Author)
Micro,Michael Crichton,"3.52 avg rating — 39,735 ratings","3.52 avg rating — 39,735 ratings"
"The Rogue (Traitor Spy Trilogy, #2)",Trudi Canavan,"4.04 avg rating — 17,651 ratings","4.04 avg rating — 17,651 ratings"
"The Whisperer (Mila Vasquez, #1)",Donato Carrisi,"4.18 avg rating — 29,116 ratings","4.18 avg rating — 29,116 ratings"
"Pegasus and the Fight for Olympus (Pegasus, #2)",Kate O'Hearn,"4.37 avg rating — 7,724 ratings","4.37 avg rating — 7,724 ratings"
All Hallows Eve (New England Witch Chronicles #4),Chelsea Luna,4.31 avg rating — 538 ratings,(Goodreads Author)
"The Accidental Vampire (Argeneau, #7)",Lynsay Sands,"4.23 avg rating — 19,755 ratings",(Goodreads Author)
Messages From Heaven,Collette Sinclaire,4.25 avg rating — 75 ratings,(Goodreads Author)
Undone,Cat Clarke,"4.12 avg rating — 3,973 ratings",(Goodreads Author)
Meditation: Insights and Inspirations,Amit Ray,4.72 avg rating — 169 ratings,4.72 avg rating — 169 ratings
The Road to Mecca,Muhammad Asad,"4.48 avg rating — 5,920 ratings","4.48 avg rating — 5,920 ratings"
The Beekeeper of Aleppo,Christy Lefteri,"4.17 avg rating — 165,574 ratings","4.17 avg rating — 165,574 ratings"
"The Spanish Love Deception (Spanish Love Deception, #1)",Elena  Armas,"3.81 avg rating — 765,600 ratings",(Goodreads Author)
"Desperation in Death (In Death, #55)",J.D. Robb,"4.57 avg rating — 25,249 ratings",(Goodreads Author)
"The Cairo Trilogy: Palace Walk, Palace of Desire, Sugar Street (The Cairo Trilogy #1-3)",Naguib Mahfouz,"4.46 avg rating — 4,890 ratings","4.46 avg rating — 4,890 ratings"
The Famished Road,Ben Okri,"3.73 avg rating — 13,307 ratings","3.73 avg rating — 13,307 ratings"
"Scandal in Spring (Wallflowers, #4)",Lisa Kleypas,"4.02 avg rating — 58,849 ratings",(Goodreads Author)
The Book of Awesome,Neil Pasricha,"3.78 avg rating — 12,302 ratings",(Goodreads Author)
The Lost Wife,Alyson Richman,"4.25 avg rating — 62,506 ratings",(Goodreads Author)
New Yesterdays,Jim L. Wright,4.58 avg rating — 123 ratings,4.58 avg rating — 123 ratings
"The Case of the Missing Marquess (Enola Holmes, #1)",Nancy Springer,"3.78 avg rating — 41,537 ratings",(Goodreads Author)
The Museum of Extraordinary Things,Alice Hoffman,"3.77 avg rating — 55,929 ratings",(Goodreads Author)
"Last of the Wilds (Age of the Five, #2)",Trudi Canavan,"4.06 avg rating — 14,568 ratings","4.06 avg rating — 14,568 ratings"
"The House of Silk (Horowitz's Holmes, #1)",Anthony Horowitz,"4.01 avg rating — 58,878 ratings",(Goodreads Author)
Our Chemical Hearts,Krystal Sutherland,"3.74 avg rating — 31,957 ratings",(Goodreads Author)
You Are Not So Smart,David McRaney,"3.86 avg rating — 35,704 ratings","3.86 avg rating — 35,704 ratings"
"The Drowning Faith (The Poppy War, #2.5)",R.F. Kuang,"4.52 avg rating — 23,496 ratings",(Goodreads Author)
Kafka on the Shore,Haruki Murakami,"4.12 avg rating — 517,517 ratings","4.12 avg rating — 517,517 ratings"
"Hammered (Legacy of Magic, #1)",Lindsay Buroker,"4.26 avg rating — 7,858 ratings",(Goodreads Author)
My Own Words,Ruth Bader Ginsburg,"4.03 avg rating — 26,164 ratings","4.03 avg rating — 26,164 ratings"
Breath: The New Science of a Lost Art,James Nestor,"4.15 avg rating — 104,254 ratings","4.15 avg rating — 104,254 ratings"
Hagakure: The Book of the Samurai,Yamamoto Tsunetomo,"really liked it 4.00 avg rating — 16,340 ratings","really liked it 4.00 avg rating — 16,340 ratings"
The Buddha of Suburbia,Hanif Kureishi,"3.75 avg rating — 20,319 ratings","3.75 avg rating — 20,319 ratings"
After,Amy Efaw,"3.73 avg rating — 19,953 ratings",(Goodreads Author)
"The Study Series Bundle (Study, #1-3)",Maria V. Snyder,"4.46 avg rating — 3,064 ratings",(Goodreads Author)
Grotesque,Natsuo Kirino,"3.74 avg rating — 13,400 ratings","3.74 avg rating — 13,400 ratings"
Brightly Woven,Alexandra Bracken,"3.80 avg rating — 9,021 ratings",(Goodreads Author)
My Enemy's Cradle,Sara Young,"4.06 avg rating — 7,087 ratings","4.06 avg rating — 7,087 ratings"
"Touch (Denazen, #1)",Jus Accardo,"3.80 avg rating — 14,765 ratings",(Goodreads Author)
The Romance of Tristan and Iseult,Joseph Bédier,"3.51 avg rating — 14,171 ratings","3.51 avg rating — 14,171 ratings"
The Raging Quiet,Sherryl Jordan,"4.24 avg rating — 4,926 ratings","4.24 avg rating — 4,926 ratings"
"For You (The 'Burg, #1)",Kristen Ashley,"4.19 avg rating — 30,394 ratings",(Goodreads Author)
Smack,Melvin Burgess,"3.91 avg rating — 21,775 ratings","3.91 avg rating — 21,775 ratings"
Leo,Mia Sheridan,"3.98 avg rating — 42,043 ratings",(Goodreads Author)
Twisted,Anna Gallegos,4.55 avg rating — 51 ratings,(Goodreads Author)
"The Silent Waters (Elements, #3)",Brittainy C. Cherry,"4.28 avg rating — 39,133 ratings",(Goodreads Author)
A Heart So White,Javier Marías,"4.02 avg rating — 16,769 ratings","4.02 avg rating — 16,769 ratings"
She's Too Pretty to Burn,Wendy Heard,"3.63 avg rating — 9,202 ratings",(Goodreads Author)
"Caraval (Caraval, #1)",Stephanie Garber,"3.97 avg rating — 743,658 ratings",(Goodreads Author)
Im Westen nichts Neues,Erich Maria Remarque,"4.10 avg rating — 493,942 ratings","4.10 avg rating — 493,942 ratings"
"A Study in Drowning (A Study in Drowning, #1)",Ava Reid,"3.74 avg rating — 80,059 ratings",(Goodreads Author)
"Green River, Running Red",Ann Rule,"really liked it 4.00 avg rating — 19,407 ratings","really liked it 4.00 avg rating — 19,407 ratings"
"Lord John and the Private Matter (Lord John Grey, #1)",Diana Gabaldon,"3.76 avg rating — 49,599 ratings",(Goodreads Author)
Ishmael,E.D.E.N. Southworth,4.42 avg rating — 923 ratings,4.42 avg rating — 923 ratings
Battle Cry of Freedom: The Civil War Era,James M. McPherson,"4.39 avg rating — 32,798 ratings","4.39 avg rating — 32,798 ratings"
Life on the Mississippi,Mark Twain,"3.87 avg rating — 15,221 ratings","3.87 avg rating — 15,221 ratings"
"Hillbilly Tales from the Smoky Mountains - And Other Homespun Remedies, Proverbs, and Poetry",Patricia H. Graham,3.82 avg rating — 56 ratings,(Goodreads Author)
Southern Mystical Moments,Patricia H. Graham,4.41 avg rating — 102 ratings,(Goodreads Author)
The Librarian of Auschwitz,Antonio Iturbe,"4.15 avg rating — 60,767 ratings","4.15 avg rating — 60,767 ratings"
Ballet Shoes,Noel Streatfeild,"4.07 avg rating — 37,720 ratings","4.07 avg rating — 37,720 ratings"
"Rebel Spring (Falling Kingdoms, #2)",Morgan Rhodes,"4.07 avg rating — 35,845 ratings",(Goodreads Author)
Teeth,Hannah Moskowitz,"3.80 avg rating — 3,518 ratings",(Goodreads Author)
Un Lun Dun,China Miéville,"3.83 avg rating — 19,241 ratings",(Goodreads Author)
"A Time to Die (Out of Time, #1)",Nadine Brandes,"4.18 avg rating — 2,013 ratings",(Goodreads Author)
"Leave It to Psmith (Psmith, #4)",P.G. Wodehouse,"4.28 avg rating — 11,933 ratings","4.28 avg rating — 11,933 ratings"
"Saga, Volume 4",Brian K. Vaughan,"4.41 avg rating — 81,045 ratings",(Goodreads Author)
How to Kill an Incubus (Incubus #1),Kimber  Lee,"4.32 avg rating — 1,665 ratings",(Goodreads Author)
"Raybearer (Raybearer, #1)",Jordan Ifueko,"4.32 avg rating — 30,317 ratings",(Goodreads Author)
The Paper Girl of Paris,Jordyn Taylor,"4.04 avg rating — 10,916 ratings",(Goodreads Author)
"The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong, Vol. 2",Mò Xiāng Tóng Xiù,"4.41 avg rating — 15,919 ratings","4.41 avg rating — 15,919 ratings"
"Gilded (Gilded, #1)",Marissa Meyer,"3.87 avg rating — 51,793 ratings",(Goodreads Author)
"Balada de pájaros cantores y serpientes (Los juegos del hambre, #0)",Suzanne Collins,"3.98 avg rating — 976,189 ratings","3.98 avg rating — 976,189 ratings"
